N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,late_spikes,runtime_seconds
1000,0.1,88,100,SUCCESS,96040,3000.0,6545,8.736449400079437
1000,0.1,89,100,SUCCESS,109619,3000.0,7486,8.535879699978977
1000,0.1,90,100,SUCCESS,99117,3000.0,6631,8.471584499930032
1000,0.1,91,100,FAILURE,1003,68.0,0,8.4034581000451
1000,0.1,92,100,SUCCESS,106523,3000.0,7248,8.735366399982013
1000,0.1,93,100,SUCCESS,98739,3000.0,6757,8.761294499970973
1000,0.1,94,100,SUCCESS,114365,3000.0,7612,8.673433899995871
1000,0.1,95,100,SUCCESS,82942,3000.0,5843,8.419426799984649
1000,0.1,96,100,SUCCESS,85168,3000.0,5822,8.485024399938993
1000,0.1,97,100,SUCCESS,97017,3000.0,6640,8.062640700023621
1000,0.1,98,100,SUCCESS,102961,3000.0,6966,8.085459999972954
1000,0.1,99,100,SUCCESS,116858,3000.0,7988,3.8293293999740854
1000,0.125,10,125,SUCCESS,108007,3000.0,7500,8.120220100041479
1000,0.125,7,125,SUCCESS,102732,3000.0,6901,8.198352999985218
1000,0.125,8,125,SUCCESS,101260,3000.0,6931,8.228708499926142
1000,0.125,0,125,SUCCESS,103026,3000.0,6971,8.276158900000155
1000,0.125,3,125,SUCCESS,108663,3000.0,7424,8.299529899959452
1000,0.125,2,125,SUCCESS,100025,3000.0,6757,8.317415299941786
1000,0.125,5,125,SUCCESS,118190,3000.0,8035,8.31158510001842
1000,0.125,6,125,SUCCESS,113891,3000.0,7738,8.337349099921994
1000,0.125,4,125,SUCCESS,107746,3000.0,7439,8.389229499967769
1000,0.125,1,125,SUCCESS,118580,3000.0,8032,8.421828099992126
1000,0.125,9,125,SUCCESS,103107,3000.0,6968,8.434760399977677
1000,0.125,11,125,SUCCESS,87897,3000.0,5972,8.327757099992596
1000,0.125,21,125,FAILURE,1000,49.0,0,8.081931099994108
1000,0.125,14,125,SUCCESS,99189,3000.0,6764,8.34097949997522
1000,0.125,13,125,SUCCESS,68015,3000.0,4853,8.350566500099376
1000,0.125,15,125,SUCCESS,93186,3000.0,6124,8.301050600013696
1000,0.125,12,125,SUCCESS,90665,3000.0,6160,8.4544167999411
1000,0.125,17,125,SUCCESS,102432,3000.0,6897,8.393038000096567
1000,0.125,19,125,SUCCESS,112241,3000.0,7712,8.357904899981804
1000,0.125,20,125,SUCCESS,112446,3000.0,7784,8.43990630004555
