N,p,seed,number_of_shortcuts,status,total_spikes,last_spike_time,activity_duration,late_spikes,runtime_seconds
2000,0.05263157894736842,49,105,SUCCESS,225564,3000.0,2990.0,15350,3.988051400054246
2000,0.05263157894736842,50,105,SUCCESS,227240,3000.0,2990.0,15841,3.90667769999709
2000,0.05263157894736842,51,105,SUCCESS,198943,3000.0,2990.0,14252,3.9022917000111192
2000,0.05263157894736842,52,105,SUCCESS,215385,3000.0,2990.0,14884,3.8688583999173716
2000,0.05263157894736842,53,105,SUCCESS,189647,3000.0,2990.0,13044,3.870808899984695
2000,0.05263157894736842,54,105,SUCCESS,193357,3000.0,2990.0,13356,3.7877151999855414
2000,0.05263157894736842,55,105,SUCCESS,194890,3000.0,2990.0,13399,3.8825404999079183
2000,0.05263157894736842,56,105,SUCCESS,200972,3000.0,2990.0,13868,3.8714876999147236
2000,0.05263157894736842,57,105,SUCCESS,225187,3000.0,2990.0,15459,3.9168808000395074
2000,0.05263157894736842,58,105,SUCCESS,180113,3000.0,2990.0,12354,3.729680599994026
2000,0.05263157894736842,59,105,SUCCESS,230826,3000.0,2990.0,16045,3.8554759999969974
2000,0.05263157894736842,60,105,SUCCESS,230186,3000.0,2990.0,16067,3.8486022000433877
2000,0.05263157894736842,61,105,SUCCESS,204593,3000.0,2990.0,14283,3.9144113999791443
2000,0.05263157894736842,62,105,SUCCESS,209120,3000.0,2990.0,14463,3.8551676000934094
2000,0.05263157894736842,63,105,SUCCESS,213844,3000.0,2990.0,14713,3.8291482999920845
2000,0.05263157894736842,64,105,SUCCESS,177232,3000.0,2990.0,11841,3.75557789998129
2000,0.05263157894736842,65,105,SUCCESS,187526,3000.0,2990.0,12806,3.8336653999285772
2000,0.05263157894736842,66,105,SUCCESS,210543,3000.0,2990.0,14348,4.179755499935709
2000,0.05263157894736842,67,105,SUCCESS,184419,3000.0,2990.0,12619,4.050808700034395
2000,0.05263157894736842,68,105,SUCCESS,195879,3000.0,2990.0,13373,4.214076399919577
2000,0.05263157894736842,69,105,SUCCESS,216066,3000.0,2990.0,14831,3.931465500034392
2000,0.05263157894736842,70,105,SUCCESS,194836,3000.0,2990.0,13239,3.853964400012046
2000,0.05263157894736842,71,105,SUCCESS,188963,3000.0,2990.0,12877,3.756511599989608
2000,0.05263157894736842,72,105,SUCCESS,192687,3000.0,2990.0,13389,3.780145699973218
2000,0.05263157894736842,73,105,SUCCESS,204351,3000.0,2990.0,14032,3.8048814000794664
2000,0.05263157894736842,74,105,SUCCESS,232424,3000.0,2990.0,16074,3.9743566000834107
2000,0.05263157894736842,75,105,SUCCESS,183930,3000.0,2990.0,12560,3.929755400051363
2000,0.05263157894736842,76,105,SUCCESS,203890,3000.0,2990.0,13877,4.185414799954742
2000,0.05263157894736842,77,105,SUCCESS,193780,3000.0,2990.0,13256,4.446985500049777
2000,0.05263157894736842,78,105,SUCCESS,228103,3000.0,2990.0,16087,4.121491699945182
2000,0.05263157894736842,79,105,SUCCESS,217892,3000.0,2990.0,15090,4.107841199962422
2000,0.05263157894736842,80,105,SUCCESS,185446,3000.0,2990.0,12755,3.8691331000300124
2000,0.05263157894736842,81,105,SUCCESS,218210,3000.0,2990.0,14882,4.138905799947679
2000,0.05263157894736842,82,105,SUCCESS,229165,3000.0,2990.0,15790,4.236366300028749
2000,0.05263157894736842,83,105,SUCCESS,206292,3000.0,2990.0,14080,4.248115499969572
2000,0.05263157894736842,84,105,SUCCESS,218843,3000.0,2990.0,14949,4.262475199997425
2000,0.05263157894736842,85,105,SUCCESS,196292,3000.0,2990.0,13382,4.009783299989067
2000,0.05263157894736842,86,105,SUCCESS,183926,3000.0,2990.0,12567,3.9560493999160826
2000,0.05263157894736842,87,105,SUCCESS,203118,3000.0,2990.0,14207,4.000857100007124
2000,0.05263157894736842,88,105,SUCCESS,175410,3000.0,2990.0,11944,3.905303700012155
2000,0.05263157894736842,89,105,SUCCESS,218768,3000.0,2990.0,15433,4.0088861000258476
2000,0.05263157894736842,90,105,SUCCESS,195270,3000.0,2990.0,13408,4.312084799981676
2000,0.05263157894736842,91,105,SUCCESS,208085,3000.0,2990.0,14203,4.517392700072378
2000,0.05263157894736842,92,105,SUCCESS,201958,3000.0,2990.0,13734,4.295881199999712
2000,0.05263157894736842,93,105,SUCCESS,226098,3000.0,2990.0,15483,4.0723873999668285
2000,0.05263157894736842,94,105,SUCCESS,196265,3000.0,2990.0,13589,4.128516800003126
2000,0.05263157894736842,95,105,SUCCESS,176913,3000.0,2990.0,12055,3.900391499977559
2000,0.05263157894736842,96,105,SUCCESS,225239,3000.0,2990.0,15436,4.123583700042218
2000,0.05263157894736842,97,105,SUCCESS,201988,3000.0,2990.0,13858,4.095829600002617
2000,0.05263157894736842,98,105,SUCCESS,217539,3000.0,2990.0,14980,3.9989762000041083
